FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2019-08-17,DL,128,14747,12892,1289208,32575,LAX,952,948,-4,22,1010,1209,9,1244,0,,0,954
2019-08-17,UA,1781,12266,14893,1489302,33192,SMF,1015,1013,-2,25,1038,1202,5,1210,0,,0,1609
2019-08-17,WN,4147,14893,13891,1389101,32575,ONT,1055,1054,-1,8,1102,1201,3,1220,0,,0,390
2019-08-18,UA,1900,14771,14679,1467903,33570,SAN,1046,1043,-3,14,1057,1211,4,1231,0,,0,447
2019-08-18,WN,4223,14057,14831,1483106,32457,SJC,1930,1925,-5,10,1935,2059,4,2110,0,,0,569
2019-08-18,OO,4749,13891,14869,1486903,34614,SLC,1835,1829,-6,12,1841,2059,6,2116,0,,0,558
2019-08-18,DL,129,12892,14747,1474703,30559,SEA,1145,1139,-6,16,1155,1405,6,1436,0,,0,954
2019-08-19,B6,147,13796,12954,1295407,32575,LGB,1058,1050,-8,8,1058,1201,5,1217,0,,0,353
2019-08-19,WN,2440,12889,12892,1289208,32575,LAX,800,810,10,16,826,908,10,915,0,,0,236
2019-08-19,DL,610,12478,14771,1477104,32457,SFO,1555,1552,-3,155,1827,2056,7,1952,0,,0,2586
2019-08-20,WN,117,13796,14570,1457002,34570,RNO,1940,1952,12,7,1959,2032,3,2035,0,,0,181
2019-08-20,OO,5216,14771,13871,1387102,33316,OMA,1833,1833,0,19,1852,2355,4,2359,0,,0,1433
2019-08-20,UA,1700,12266,14771,1477104,32457,SFO,1639,1632,-7,30,1702,1837,5,1850,0,,0,1635
2019-08-21,NK,658,12892,14122,1412202,30198,PIT,2340,2339,-1,21,2400,707,4,717,0,,0,2136
2019-08-21,AA,2680,13930,14679,1467903,33570,SAN,1005,1120,75,18,1138,1330,5,1219,0,,0,1723
2019-08-21,WN,212,14908,13796,1379608,32457,OAK,825,826,1,10,836,936,6,950,0,,0,371
2019-08-22,HA,23,13796,13830,1383002,33830,OGG,700,700,0,16,716,910,5,920,0,,0,2349
2019-08-22,AS,1120,14771,14908,1490803,32575,SNA,1345,1400,15,17,1417,1522,6,1525,0,,0,372
2019-08-22,WN,1919,13796,14679,1467903,33570,SAN,1330,1328,-2,12,1340,1449,2,1505,0,,0,446
2019-08-22,UA,351,14771,14747,1474703,30559,SEA,2305,29,84,20,49,225,4,114,0,,0,679
2019-08-23,AS,1911,12889,14771,1477104,32457,SFO,1200,1152,-8,22,1214,1323,4,1340,0,,0,414
2019-08-23,UA,2154,12264,12892,1289208,32575,LAX,815,813,-2,15,828,1026,14,1041,0,,0,2288
2019-08-23,WN,571,14869,14893,1489302,33192,SMF,1320,1317,-3,8,1325,1339,4,1400,0,,0,532
2019-08-24,AA,1674,12892,11057,1105703,31057,CLT,1121,1119,-2,12,1131,1848,12,1920,0,,0,2125
2019-08-24,WN,4202,14679,14831,1483106,32457,SJC,1120,1118,-2,9,1127,1223,14,1250,0,,0,417
2019-08-24,DL,503,12892,12339,1233904,32337,IND,2225,2225,0,10,2235,518,6,525,0,,0,1814
2019-08-25,WN,2711,12889,13796,1379608,32457,OAK,1620,1630,10,10,1640,1744,4,1755,0,,0,407
2019-08-25,UA,843,12264,14771,1477104,32457,SFO,2215,2211,-4,14,2225,33,4,104,0,,0,2419
2019-08-25,B6,131,13204,12892,1289208,32575,LAX,1251,1250,-1,18,1308,1442,6,1507,0,,0,2218
2019-08-26,DL,373,10397,13891,1389101,32575,ONT,826,823,-3,16,839,935,11,954,0,,0,1900
2019-08-26,WN,2121,13796,14869,1486903,34614,SLC,2140,2147,7,11,2158,20,2,15,0,,0,588
2019-08-26,UA,413,11042,14771,1477104,32457,SFO,1916,1913,-3,14,1927,2126,13,2135,0,,0,2161
2019-08-26,AS,1812,14057,14771,1477104,32457,SFO,2045,2037,-8,16,2053,2216,5,2240,0,,0,550
2019-08-27,WN,989,14679,13796,1379608,32457,OAK,2230,2222,-8,8,2230,2328,6,2355,0,,0,446
2019-08-27,OO,5309,14683,14771,1477104,32457,SFO,630,639,9,13,652,755,44,820,0,,0,1482
2019-08-27,DL,1143,14869,14831,1483106,32457,SJC,1132,1125,-7,14,1139,1204,5,1229,0,,0,584
2019-08-28,AA,1676,14492,12892,1289208,32575,LAX,1900,1929,29,13,1942,2127,8,2121,0,,0,2239
2019-08-28,WN,1133,12892,14771,1477104,32457,SFO,2235,2227,-8,9,2236,2325,4,2355,0,,0,337
2019-08-28,OO,5392,14570,12892,1289208,32575,LAX,1452,1501,9,26,1527,1635,9,1640,0,,0,391
2019-08-29,WN,814,11259,14679,1467903,33570,SAN,1605,1605,0,19,1624,1659,5,1705,0,,0,1182
2019-08-29,AA,2048,14107,14893,1489302,33192,SMF,2040,2034,-6,13,2047,2221,6,2240,0,,0,647
2019-08-29,UA,948,14771,11292,1129202,30325,DEN,835,831,-4,33,904,1206,6,1213,0,,0,967
2019-08-30,WN,833,11259,14679,1467903,33570,SAN,2030,2140,70,12,2152,2221,2,2125,0,,0,1182
2019-08-30,WN,1325,14893,14679,1467903,33570,SAN,1855,1854,-1,17,1911,2019,3,2020,0,,0,480
2019-08-30,AA,440,14771,11298,1129806,30194,DFW,700,705,5,26,731,1236,8,1241,0,,0,1464
2019-08-30,AS,410,12892,12478,1247805,31703,JFK,715,709,-6,22,731,1527,9,1550,0,,0,2475
2019-08-31,WN,2271,13796,12954,1295407,32575,LGB,835,827,-8,14,841,942,6,955,0,,0,353
2019-08-31,UA,720,14771,11292,1129202,30325,DEN,1409,1405,-4,17,1422,1722,17,1749,0,,0,967
