FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2019-08-04,AA,19805,205,12892,1289208,32575,LAX,13830,1383002,33830,OGG,1425,1425,0,14,1439,1647,4,1702,1651,-11,0,,0,2486
2019-08-04,WN,19393,5057,14908,1490803,32575,SNA,13796,1379608,32457,OAK,1635,1656,21,10,1706,1800,3,1755,1803,8,0,,0,371
2019-08-05,DL,19790,613,14771,1477104,32457,SFO,14869,1486903,34614,SLC,1852,1847,-5,25,1912,2128,9,2145,2137,-8,0,,0,599
2019-08-05,WN,19393,1575,14893,1489302,33192,SMF,14679,1467903,33570,SAN,1500,1501,1,8,1509,1620,2,1630,1622,-8,0,,0,480
2019-08-05,WN,19393,2592,14679,1467903,33570,SAN,11292,1129202,30325,DEN,2115,2132,17,11,2143,32,5,30,37,7,0,,0,853
2019-08-05,OO,20304,3417,14679,1467903,33570,SAN,13476,1347605,34922,MRY,900,848,-12,37,925,1023,4,1025,1027,2,0,,0,375
2019-08-06,WN,19393,930,14831,1483106,32457,SJC,10713,1071302,30713,BOI,1015,1011,-4,11,1022,1230,2,1250,1232,-18,0,,0,523
2019-08-06,OO,20304,5552,10800,1080003,32575,BUR,11292,1129202,30325,DEN,1132,1131,-1,9,1140,1436,12,1500,1448,-12,0,,0,850
2019-08-06,WN,19393,833,11259,1125904,30194,DAL,14679,1467903,33570,SAN,2030,2028,-2,7,2035,2105,5,2125,2110,-15,0,,0,1182
2019-08-07,DL,19790,2002,14771,1477104,32457,SFO,14747,1474703,30559,SEA,1640,1714,34,19,1733,1905,8,1850,1913,23,0,,0,679
2019-08-07,UA,19977,661,12892,1289208,32575,LAX,13930,1393007,30977,ORD,1645,1653,8,24,1717,2242,2,2248,2244,-4,0,,0,1744
2019-08-07,WN,19393,188,14831,1483106,32457,SJC,14908,1490803,32575,SNA,1730,1726,-4,9,1735,1838,4,1850,1842,-8,0,,0,342
2019-08-07,OO,20304,3053,14698,1469802,34236,SBP,14107,1410702,30466,PHX,612,746,94,18,804,915,5,757,920,83,0,,0,509
2019-08-08,WN,19393,2038,14893,1489302,33192,SMF,12892,1289208,32575,LAX,625,623,-2,13,636,743,6,755,749,-6,0,,0,373
